# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-t" "CDS" "-g" "locus_tag" "-a" "data/lambda.gff" "-o" "results/lambda_counts.txt" "results/lambda_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	results/lambda_sorted.bam
lambdap01	NC_001416.1	191	736	+	546	101
lambdap02	NC_001416.1	711	2636	+	1926	449
lambdap03	NC_001416.1	2633	2839	+	207	24
lambdap04	NC_001416.1	2836	4437	+	1602	335
lambdap05	NC_001416.1	4418	5737	+	1320	129
lambdap06	NC_001416.1	5132	5737	+	606	0
lambdap07	NC_001416.1	5747	6079	+	333	62
lambdap08	NC_001416.1	6135	7160	+	1026	260
lambdap09	NC_001416.1	7202	7600	+	399	54
lambdap10	NC_001416.1	7612	7965	+	354	76
lambdap11	NC_001416.1	7977	8555	+	579	127
lambdap12	NC_001416.1	8552	8947	+	396	72
lambdap13	NC_001416.1	8955	9695	+	741	143
lambdap14	NC_001416.1	9711	10133	+	423	60
lambdap15	NC_001416.1	10115	10549	+	435	85
lambdap16	NC_001416.1	10542	13103	+	2562	665
lambdap17	NC_001416.1	13100	13429	+	330	46
lambdap18	NC_001416.1	13429	14127	+	699	152
lambdap19	NC_001416.1	14276	14875	+	600	119
lambdap20	NC_001416.1	14773	15444	+	672	156
lambdap21	NC_001416.1	15505	18903	+	3399	865
lambdap26	NC_001416.1	18965	19585	+	621	202
lambdap27	NC_001416.1	19650	20855	+	1206	150
lambdap90	NC_001416.1	20147	20767	-	621	0
lambdap28	NC_001416.1	21029	21973	+	945	268
lambdap29	NC_001416.1	21973	22557	+	585	107
lambdap80	NC_001416.1	22686	23918	-	1233	334
lambdap81	NC_001416.1	24509	25399	-	891	220
lambdap82	NC_001416.1	25396	26973	-	1578	364
lambdap33	NC_001416.1	27812	28882	-	1071	301
lambdap34	NC_001416.1	28860	29078	-	219	27
lambdap35	NC_001416.1	29118	29285	-	168	43
lambdap36	NC_001416.1	29374	29655	-	282	80
lambdap83	NC_001416.1	29847	30395	-	549	159
lambdap37	NC_001416.1	30839	31024	-	186	57
lambdap38	NC_001416.1	31005	31196	-	192	15
lambdap39	NC_001416.1	31169	31351	-	183	12
lambdap41	NC_001416.1	31348	32028	-	681	124
lambdap84	NC_001416.1	32025	32810	-	786	166
lambdap42	NC_001416.1	32816	33232	-	417	78
lambdap85	NC_001416.1	33187	33330	-	144	3
lambdap86	NC_001416.1	33299	33463	-	165	28
lambdap45	NC_001416.1	33536	33904	-	369	138
lambdap46	NC_001416.1	34087	34287	-	201	35
lambdap47	NC_001416.1	34271	34357	-	87	11
lambdap48	NC_001416.1	34482	35036	+	555	125
lambdap49	NC_001416.1	35037	35438	-	402	111
lambdap53	NC_001416.1	35825	36259	-	435	102
lambdap87	NC_001416.1	36275	37114	-	840	217
lambdap88	NC_001416.1	37227	37940	-	714	151
lambdap57	NC_001416.1	38041	38241	+	201	79
lambdap59	NC_001416.1	38360	38653	+	294	66
lambdap89	NC_001416.1	38686	39585	+	900	184
lambdap61	NC_001416.1	39582	40283	+	702	162
lambdap62	NC_001416.1	40280	40570	+	291	62
lambdap63	NC_001416.1	40644	41084	+	441	98
lambdap64	NC_001416.1	41081	41953	+	873	180
lambdap65	NC_001416.1	41950	42123	+	174	17
lambdap66	NC_001416.1	42090	42272	+	183	11
lambdap67	NC_001416.1	42269	42439	+	171	19
lambdap68	NC_001416.1	42429	43043	+	615	103
lambdap69	NC_001416.1	43040	43246	+	207	20
lambdap70	NC_001416.1	43224	43889	+	666	160
lambdap71	NC_001416.1	43886	44509	+	624	164
lambdap73	NC_001416.1	44621	44815	+	195	67
lambdap74	NC_001416.1	45186	45509	+	324	1
lambdap92	NC_001416.1	45192	45509	+	318	0
lambdap75	NC_001416.1	45493	45969	+	477	105
lambdap76	NC_001416.1	45966	46427	+	462	31
lambdap91	NC_001416.1	46186	46368	+	183	0
lambdap77	NC_001416.1	46459	46752	-	294	73
lambdap78	NC_001416.1	47042	47575	-	534	185
lambdap79	NC_001416.1	47738	47944	+	207	81
